sentence1,sentence2,similarity_score
A dog is standing on a mountain,A white dog is standing on a grassy hillside,3.5
There is no dog standing on the side of a mountain,A white dog is standing on a grassy hillside,3.5
Two children are rolling in muddy water,Two boys are laying in the ocean far to the beach,2.9
A black and brown dog is eyeing a fly,A black and brown dog is eyeing an insect,4.5
A brown and black dog is pointing the nose upwards,A brown and black dog is pointing the nose downwards,3.7
A black and brown dog is eyeing a fly,A brown and black dog is pointing the nose downwards,3.0
A brown and black dog is pointing the nose upwards,A black and brown dog is eyeing an insect,2.5
A black and brown dog is eyeing a fly,A brown and black dog is pointing the nose upwards,2.6
A veteran is showing different things from a war to some people,Different things from a war are being shown to some people by a veteran,4.9
There is no veteran showing things from a war to some people,A veteran is showing different things from a war to some people,4.2
Different things from a war are being shown to some people by a veteran,A large man is sitting in a military accessories store,2.9
A veteran is showing different things from a war to some people,A large man is sitting in a military accessories shop,2.9
A veteran is showing different things from a war to some people,A small man is sitting in a military accessories store,2.5
A grey dog is bouncing a soccer ball on its head on a lawn,A dog with a blue collar is playing with the ball outside,3.5
A young white child is not standing on the edge of a body of water near some buckets,A young black child is standing on the edge of a body of water near some buckets,3.3
A boy next to some buckets of rags is holding something,A boy next to some buckets of rags is holding an object,4.8
A boy next to some buckets of rags is holding something,A young black child is standing on the edge of a body of water near some buckets,2.8
A boy next to some buckets of rags is holding an object,A young black child is standing on the edge of a body of water near some buckets,3.1
Two children are playing soccer in the park,Two children are playing with a ball in the park,4.2
Two little boys are playing outside with a soccer ball on the green grass,Children are playing outside with a soccer ball on the green grass,4.4
Two little boys are playing outside with a soccer ball on the green grass,There are no little boys playing outside with a soccer ball on the green grass,3.2
Two children are playing soccer in the park,Children are playing outside with a soccer ball on the green grass,4.2
Two little boys are playing outside with a soccer ball on the green grass,Two children are playing with a ball in the park,3.8
Two children are not playing soccer in the park,Two little boys are playing outside with a soccer ball on the green grass,3.3
Two little boys are playing outside with a soccer ball on the green grass,Two children are playing soccer in the park,4.0
The woman is wearing a colorful shirt and a lot of jewelry,A woman is wearing a colorful shirt and a lot of jewelry,5.0
A woman is wearing a colorful shirt and a lot of jewelry,A man is wearing a colorful shirt and a lot of jewelry,3.6
A young woman with Indian clothing and henna on her hand is going through paperwork,A girl with Indian clothing and henna on her hand is going through paperwork,4.8
A man with Indian clothing and henna on his hand is going through paperwork,A girl with Indian clothing and henna on her hand is going through paperwork,3.4
A girl with Indian clothing and henna on her hand is going through paperwork,A man is wearing a colorful shirt and a lot of jewelry,1.1
A man is standing in the middle of a gym and is wearing a jersey,A man is standing in a gym and is wearing a jersey,4.6
A man is standing in the middle of a gym and is wearing a jersey,A woman in a black jersey is standing in a gym,3.0
A man is standing in the middle of a gym and is wearing a jersey,A man in a black jersey is standing in a gym,3.9
The snowboarder is jumping off a snowy hill,A snowboarder is jumping off the snow,4.5
A snowboarder is jumping off the snow,The snowboarder is not jumping off a snow covered hill,3.8
The snowboarder is jumping off a snow covered hill,The snowboarder is jumping off the snow,4.6
A boy is wearing a black dress and is carrying a white cross,A lady is wearing a black dress and is carrying a white cross,3.6
A man in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,A woman in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,3.8
A woman in a black dress is pulling a cart and is standing near two men who are seated on a park bench,A lady is wearing a black dress and is carrying a white cross,3.0
A woman in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,A lady is dressed in black and is carrying a white cross,2.5
A boy in a swimsuit is sitting on top of a circular fountain,A boy in a swimsuit is sitting on a circular fountain,4.5
There is no boy in a swimsuit sitting on top of a circular fountain,A boy in a swimsuit is sitting on top of a circular fountain,2.9
A boy in a swimsuit is sitting on top of a circular fountain,A girl is standing next to the opening of a fountain,2.5
A boy in a swimsuit is sitting on a circular fountain,A boy is standing next to the opening of a fountain,3.7
There is no boy in a swimsuit sitting on top of a circular fountain,A boy is standing next to the opening of a fountain,2.8
A boy is standing next to the opening of a fountain,A boy in a swimsuit is sitting on top of a circular fountain,3.2
A brown and white animal is jumping on the sidewalk,A brown and white dog is jumping on the sidewalk,4.5
